best,threshold,entropy
379,379,379,325
381,381,381,327
381,381,381,327
382,382,382,328
382,382,382,328
383,383,383,328
383,383,383,328
384,384,384,329
385,385,385,329
386,386,386,330
386,386,386,330
386,386,386,330
387,387,387,331
387,387,387,331
387,387,387,331
387,387,387,331
387,387,387,331
388,388,388,332
388,388,388,332
389,389,389,332
389,389,389,332
389,389,389,332
389,389,389,332
393,393,393,336
393,393,393,336
394,394,394,336
394,394,394,336
394,394,394,336
395,395,395,336
396,396,396,337
396,396,396,337
396,396,396,337
396,396,396,337
396,396,396,337
397,397,397,338
397,397,397,338
398,398,398,339
398,398,398,339
398,398,398,339
398,398,398,339
401,401,401,341
401,401,401,341
402,402,402,342
403,403,403,343
403,403,403,343
403,403,403,343
403,403,403,343
403,403,403,343
403,403,403,343
405,405,405,345
405,405,405,345
405,405,405,345
405,405,405,345
406,406,406,346
406,406,406,346
406,406,406,346
406,406,406,346
406,406,406,346
406,406,406,346
406,406,406,346
407,407,407,346
409,409,409,347
409,409,409,347
410,410,410,348
410,410,410,348
411,411,411,348
411,411,411,348
411,411,411,348
412,412,412,348
413,413,413,349
414,414,414,350
414,414,414,350
415,415,415,351
415,415,415,351
415,415,415,351
416,416,416,352
416,416,416,352
416,416,416,352
417,417,417,352
417,417,417,352
418,418,418,352
418,418,418,352
418,418,418,352
419,419,419,353
419,419,419,353
419,419,419,353
419,419,419,353
420,420,420,354
420,420,420,354
421,421,421,355
421,421,421,355
421,421,421,355
421,421,421,355
422,422,422,355
422,422,422,355
422,422,422,355
422,422,422,355
422,422,422,355
422,422,422,355
423,423,423,356
423,423,423,356
423,423,423,356
424,424,424,357
424,424,424,357
424,424,424,357
424,424,424,357
424,424,424,357
424,424,424,357
424,424,424,357
425,425,425,358
425,425,425,358
425,425,425,358
425,425,425,358
425,425,425,358
425,425,425,358
425,425,425,358
425,425,425,358
425,425,425,358
426,426,426,359
426,426,426,359
426,426,426,359
426,426,426,359
426,426,426,359
426,426,426,359
426,426,426,359
426,426,426,359
426,426,426,359
427,427,427,360
429,429,429,361
429,429,429,361
429,429,429,361
429,429,429,361
429,429,429,361
429,429,429,361
429,429,429,361
429,429,429,361
429,429,429,361
429,429,429,361
429,429,429,361
429,429,429,361
429,429,429,361
430,430,430,362
431,431,431,363
432,432,432,364
433,433,433,365
434,434,434,366
434,434,434,366
434,434,434,366
434,434,434,366
434,434,434,366
434,434,434,366
434,434,434,366
434,434,434,366
434,434,434,366
435,435,435,367
435,435,435,367
435,435,435,367
435,435,435,367
435,435,435,367
435,435,435,367
435,435,435,367
436,436,436,368
436,436,436,368
436,436,436,368
437,437,437,369
438,438,438,370
438,438,438,370
438,438,438,370
438,438,438,370
438,438,438,370
438,438,438,370
438,438,438,370
439,439,439,371
439,439,439,371
440,440,440,372
440,440,440,372
440,440,440,372
440,440,440,372
440,440,440,372
440,440,440,372
440,440,440,372
440,440,440,372
440,440,440,372
440,440,440,372
440,440,440,372
441,441,441,372
443,443,443,374
443,443,443,374
443,443,443,374
443,443,443,374
444,444,444,375
444,444,444,375
445,445,445,376
445,445,445,376
446,446,446,377
446,446,446,377
446,446,446,377
446,446,446,377
447,447,447,378
449,449,449,380
449,449,449,380
449,449,449,380
449,449,449,380
449,449,449,380
449,449,449,380
449,449,449,380
450,450,450,381
450,450,450,381
452,452,452,383
452,452,452,383
452,452,452,383
453,453,453,384
453,453,453,384
453,453,453,384
453,453,453,384
453,453,453,384
454,454,454,385
456,456,456,387
458,458,458,388
459,459,459,389
